Weekday,Arrival_date,Departure_date,Ship,Pier
Fr,06.04.18,06.04.18,Boudicca,Ostseekai
So,08.04.18,08.04.18,AIDAcara,Ostseekai
So,15.04.18,15.04.18,AIDAcara,Ostseekai
So,22.04.18,22.04.18,AIDAcara,Ostseekai
Do,26.04.18,26.04.18,AIDAluna,Ostseekai
Fr,27.04.18,27.04.18,Mein Schiff 1,Ostseekai
Sa,28.04.18,28.04.18,AIDAluna,Ostseekai
Sa,28.04.18,28.04.18,MSC Preziosa,Ostseekai
So,29.04.18,29.04.18,Mein Schiff 1,Ostseekai
So,29.04.18,29.04.18,AIDAcara,Ostseekai
Fr,04.05.18,04.05.18,Mein Schiff 1,Ostseekai
Fr,04.05.18,04.05.18,Zenith,Ostseekai
Sa,05.05.18,05.05.18,AIDAluna,Ostseekai
Sa,05.05.18,05.05.18,MSC Preziosa,Ostseekai
Mi,09.05.18,09.05.18,AIDAbella,Ostseekai
Fr,11.05.18,11.05.18,Ocean Majesty,Norwegenkai
Sa,12.05.18,12.05.18,AIDAluna,Ostseekai
Sa,12.05.18,12.05.18,MSC Preziosa,Ostseekai
So,13.05.18,13.05.18,AIDAbella,Ostseekai
So,13.05.18,13.05.18,AIDAcara,Ostseekai
Di,15.05.18,15.05.18,Mein Schiff 4,Ostseekai
Do,17.05.18,17.05.18,Saga Sapphire,Ostseekai
Do,17.05.18,17.05.18,Le Soleal,Ostseekai
Sa,19.05.18,19.05.18,Mein Schiff 1,Ostseekai
Sa,19.05.18,19.05.18,Zuiderdam,Ostseekai
Sa,19.05.18,19.05.18,MSC Preziosa,Ostuferhafen
Sa,19.05.18,19.05.18,AIDAluna,Norwegenkai
So,20.05.18,20.05.18,AIDAbella,Ostseekai
Mo,21.05.18,21.05.18,AIDAluna,Ostseekai
Mo,21.05.18,21.05.18,Ocean Majesty,Norwegenkai
Mo,21.05.18,21.05.18,Queen Elizabeth,Ostseekai
Mi,23.05.18,23.05.18,Mein Schiff 4,Ostseekai
Fr,25.05.18,25.05.18,Astor,Norwegenkai
Sa,26.05.18,26.05.18,MSC Preziosa,Ostseekai
So,27.05.18,27.05.18,AIDAbella,Ostseekai
So,27.05.18,27.05.18,AIDAcara,Ostseekai
Di,29.05.18,29.05.18,Mein Schiff 1,Ostseekai
Di,29.05.18,29.05.18,AIDAaura,Ostseekai
Do,31.05.18,31.05.18,Mein Schiff 4,Ostseekai
Do,31.05.18,31.05.18,Koningsdam,Ostseekai
Fr,01.06.18,01.06.18,Mein Schiff 1,Ostseekai
Sa,02.06.18,02.06.18,Ocean Majesty,Norwegenkai
Sa,02.06.18,02.06.18,MSC Preziosa,Ostseekai
So,03.06.18,03.06.18,AIDAbella,Ostseekai
So,03.06.18,03.06.18,Saga Pearl II,Ostseekai
Mo,04.06.18,04.06.18,Balmoral,Ostseekai
Mi,06.06.18,06.06.18,AIDAcara,Ostseekai
Do,07.06.18,07.06.18,AIDAluna,Ostseekai
Sa,09.06.18,09.06.18,Mein Schiff 1,Ostseekai
Sa,09.06.18,09.06.18,Ocean Majesty,Norwegenkai
Sa,09.06.18,09.06.18,AIDAcara,Ostseekai
Sa,09.06.18,09.06.18,MSC Preziosa,Ostuferhafen
So,10.06.18,10.06.18,AIDAbella,Ostseekai
Mo,11.06.18,11.06.18,Mein Schiff 4,Ostseekai
Di,12.06.18,12.06.18,Zuiderdam,Ostseekai
Sa,16.06.18,16.06.18,AIDAaura,Ostseekai
Sa,16.06.18,16.06.18,MSC Preziosa,Ostseekai
So,17.06.18,17.06.18,Mein Schiff 1,Ostseekai
So,17.06.18,17.06.18,AIDAbella,Ostuferhafen
So,17.06.18,17.06.18,AIDAcara,Ostseekai
Di,19.06.18,19.06.18,Ocean Majesty,Norwegenkai
Sa,23.06.18,23.06.18,MSC Preziosa,Ostseekai
Sa,23.06.18,23.06.18,Boudicca,Ostseekai
Sa,23.06.18,24.06.18,Artania,Ostseekai
So,24.06.18,24.06.18,AIDAbella,Ostuferhafen
So,24.06.18,24.06.18,AIDAluna,Ostseekai
Mo,25.06.18,25.06.18,Mein Schiff 4,Ostseekai
Di,26.06.18,26.06.18,Hamburg,Ostseekai
Mi,27.06.18,27.06.18,Mein Schiff 1,Ostseekai
Sa,30.06.18,30.06.18,AIDAaura,Ostseekai
Sa,30.06.18,30.06.18,MSC Preziosa,Ostseekai
So,01.07.18,01.07.18,AIDAbella,Ostseekai
So,01.07.18,01.07.18,AIDAcara,Ostseekai
So,01.07.18,01.07.18,Ocean Majesty,Norwegenkai
Di,03.07.18,03.07.18,Viking Sun,Ostseekai
Do,05.07.18,05.07.18,Mein Schiff 1,Ostseekai
Fr,06.07.18,06.07.18,Mein Schiff 4,Ostseekai
Fr,06.07.18,06.07.18,Zuiderdam,Ostseekai
Fr,06.07.18,06.07.18,Artania,Ostuferhafen
Sa,07.07.18,07.07.18,Hamburg,Ostseekai
Sa,07.07.18,07.07.18,MSC Preziosa,Ostseekai
