Weekday,Arrival_date,Departure_date,Ship,Pier
So,08.07.18,08.07.18,AIDAbella,Ostseekai
Mo,09.07.18,09.07.18,Europa,Ostseekai
Mi,11.07.18,11.07.18,AIDAluna,Ostseekai
Mi,11.07.18,11.07.18,Ocean Majesty,Norwegenkai
Sa,14.07.18,14.07.18,AIDAaura,Ostseekai
Sa,14.07.18,14.07.18,MSC Preziosa,Ostseekai
So,15.07.18,15.07.18,Mein Schiff 1,Ostseekai
So,15.07.18,15.07.18,AIDAbella,Ostseekai
Di,17.07.18,17.07.18,Mein Schiff 4,Ostseekai
Di,17.07.18,17.07.18,Queen Victoria,Ostseekai
Mi,18.07.18,18.07.18,Hamburg,Ostseekai
Fr,20.07.18,20.07.18,Costa Pacifica,Ostseekai
Sa,21.07.18,21.07.18,MSC Preziosa,Ostseekai
So,22.07.18,22.07.18,AIDAbella,Ostseekai
Mo,23.07.18,23.07.18,Mein Schiff 1,Ostseekai
Sa,28.07.18,28.07.18,AIDAaura,Sartorikai
Sa,28.07.18,28.07.18,AIDAluna,Ostseekai
Sa,28.07.18,28.07.18,MSC Preziosa,Ostseekai
So,29.07.18,29.07.18,Mein Schiff 4,Ostseekai
So,29.07.18,29.07.18,AIDAbella,Ostseekai
Mo,30.07.18,30.07.18,Europa,Ostseekai
Mo,30.07.18,30.07.18,Zuiderdam,Ostseekai
Mo,30.07.18,31.07.18,Astor,Norwegenkai
Di,31.07.18,31.07.18,Mein Schiff 1,Ostseekai
Di,31.07.18,31.07.18,Costa Pacifica,Ostseekai
Sa,04.08.18,04.08.18,AIDAluna,Ostseekai
Sa,04.08.18,04.08.18,MSC Preziosa,Ostseekai
So,05.08.18,05.08.18,AIDAbella,Ostseekai
Fr,10.08.18,10.08.18,Mein Schiff 1,Ostseekai
Sa,11.08.18,11.08.18,AIDAaura,Sartorikai
Sa,11.08.18,11.08.18,AIDAluna,Ostseekai
Sa,11.08.18,11.08.18,Costa Pacifica,Ostseekai
Sa,11.08.18,11.08.18,MSC Preziosa,Ostuferhafen
Sa,11.08.18,11.08.18,Astor,Norwegenkai
So,12.08.18,12.08.18,Mein Schiff 4,Ostseekai
So,12.08.18,12.08.18,AIDAbella,Ostseekai
Fr,17.08.18,17.08.18,Astor,Norwegenkai
Sa,18.08.18,18.08.18,AIDAluna,Ostseekai
Sa,18.08.18,18.08.18,MSC Preziosa,Ostseekai
So,19.08.18,19.08.18,AIDAbella,Ostseekai
Mo,20.08.18,20.08.18,Mein Schiff 1,Ostseekai
Mo,20.08.18,20.08.18,Europa 2,Ostseekai
Mi,22.08.18,22.08.18,Costa Pacifica,Ostseekai
Do,23.08.18,23.08.18,Mein Schiff 4,Ostseekai
Do,23.08.18,23.08.18,Zuiderdam,Ostseekai
Sa,25.08.18,25.08.18,AIDAaura,Sartorikai
Sa,25.08.18,25.08.18,AIDAluna,Ostseekai
Sa,25.08.18,25.08.18,MSC Preziosa,Ostseekai
So,26.08.18,26.08.18,AIDAbella,Ostseekai
Fr,31.08.18,31.08.18,Mein Schiff 4,Ostseekai
Sa,01.09.18,01.09.18,MSC Preziosa,Ostseekai
So,02.09.18,02.09.18,AIDAbella,Ostseekai
So,02.09.18,02.09.18,Costa Pacifica,Ostseekai
Do,06.09.18,06.09.18,Berlin,Ostseekai
Sa,08.09.18,08.09.18,AIDAaura,Ostseekai
Sa,08.09.18,08.09.18,MSC Preziosa,Ostseekai
So,09.09.18,09.09.18,AIDAbella,Ostseekai
Mo,10.09.18,11.09.18,Saga Sapphire,Ostseekai
Mo,10.09.18,10.09.18,Berlin,Norwegenkai
Di,11.09.18,11.09.18,Aurora,Ostseekai
Do,13.09.18,13.09.18,Koningsdam,Ostseekai
So,16.09.18,16.09.18,AIDAbella,Ostseekai
Mo,17.09.18,17.09.18,AIDAaura,Ostseekai
So,23.09.18,23.09.18,AIDAbella,Ostseekai
Mi,26.09.18,26.09.18,AIDAvita,Ostseekai
Do,27.09.18,27.09.18,AIDAaura,Ostseekai
So,30.09.18,30.09.18,AIDAbella,Ostseekai
Di,02.10.18,02.10.18,Viking Sky,Ostseekai
Sa,06.10.18,06.10.18,Saga Pearl II,Ostseekai
Sa,06.10.18,06.10.18,AIDAaura,Ostseekai
So,07.10.18,07.10.18,AIDAbella,Ostseekai
So,14.10.18,14.10.18,AIDAbella,Ostseekai
So,21.10.18,21.10.18,AIDAbella,Ostseekai
Mi,24.10.18,24.10.18,Balmoral,Ostseekai
So,28.10.18,28.10.18,AIDAbella,Ostseekai
Di,30.10.18,30.10.18,Braemar,Ostseekai
