Weekday,Arrival_date,Departure_date,Ship,Pier
Sa,04.04.15,04.04.15,AIDAcara,Ostseekai
Sa,11.04.15,11.04.15,AIDAcara,Ostseekai
Sa,18.04.15,18.04.15,AIDAcara,Ostseekai
Mo,20.04.15,20.04.15,AIDAcara,Ostseekai
Fr,24.04.15,24.04.15,AIDAluna,Ostseekai
Sa,25.04.15,25.04.15,AIDAcara,Ostseekai
Di,28.04.15,28.04.15,Costa Pacifica,Ostseekai
Di,28.04.15,28.04.15,AIDAluna,Ostseekai
Sa,02.05.15,02.05.15,AIDAcara,Ostseekai
Sa,02.05.15,02.05.15,AIDAluna,Ostseekai
Sa,09.05.15,09.05.15,Eurodam,Ostseekai
Sa,09.05.15,09.05.15,Costa Pacifica,Ostseekai
Sa,09.05.15,09.05.15,AIDAluna,Ostuferhafen
Di,12.05.15,12.05.15,MSC Orchestra,Ostseekai
Do,14.05.15,14.05.15,Europa 2,Ostseekai
Do,14.05.15,14.05.15,Mein Schiff 4,Ostseekai
Sa,16.05.15,16.05.15,AIDAcara,Ostseekai
Sa,16.05.15,16.05.15,AIDAluna,Ostuferhafen
Sa,16.05.15,16.05.15,MSC Orchestra,Ostseekai
So,17.05.15,18.05.15,Mein Schiff 4,Ostseekai
So,17.05.15,17.05.15,MSC Sinfonia,Ostseekai
Mi,20.05.15,20.05.15,Mein Schiff 4,Ostseekai
Mi,20.05.15,20.05.15,Costa Pacifica,Ostseekai
Do,21.05.15,21.05.15,Eurodam,Ostseekai
Do,21.05.15,21.05.15,Europa 2,Ostseekai
Sa,23.05.15,23.05.15,AIDAluna,Ostseekai
Sa,23.05.15,23.05.15,MSC Orchestra,Ostseekai
Mo,25.05.15,26.05.15,Mein Schiff 4,Ostseekai
Sa,30.05.15,30.05.15,AIDAcara,Ostseekai
Sa,30.05.15,30.05.15,AIDAluna,Ostuferhafen
Sa,30.05.15,30.05.15,MSC Orchestra,Ostseekai
So,31.05.15,31.05.15,Costa Pacifica,Ostseekai
Di,02.06.15,02.06.15,Eurodam,Ostseeka
Mi,03.06.15,03.06.15,AIDAluna,Ostseekai
Mi,03.06.15,03.06.15,Ocean Majesty,Norwegenkai
Do,04.06.15,04.06.15,Mein Schiff 4,Ostseekai
Sa,06.06.15,06.06.15,MSC Orchestra,Ostuferhafen
Sa,06.06.15,09.06.15,Deutschland,Norwegenkai
So,07.06.15,07.06.15,AIDAluna,Ostseekai
So,07.06.15,07.06.15,Artania,Ostseekai
Do,11.06.15,11.06.15,Costa Pacifica,Ostseekai
Do,11.06.15,11.06.15,AIDAluna,Ostseekai
Sa,13.06.15,13.06.15,AIDAcara,Ostseekai
Sa,13.06.15,13.06.15,MSC Orchestra,Ostseekai
Sa,13.06.15,13.06.15,Ocean Majesty,Norwegenkai
So,14.06.15,14.06.15,Mein Schiff 4,Ostseekai
So,14.06.15,14.06.15,Eurodam,Ostseekai
Mi,17.06.15,17.06.15,Artania,Ostseekai
Do,18.06.15,18.06.15,Mein Schiff 4,Ostseekai
Sa,20.06.15,20.06.15,Astor,Ostseekai
Sa,20.06.15,20.06.15,MSC Orchestra,Ostseekai
Sa,20.06.15,20.06.15,Ocean Majesty,Norwegenkai
Mo,22.06.15,22.06.15,Costa Pacifica,Ostseekai
Fr,26.06.15,26.06.15,Eurodam,Ostseekai
Fr,26.06.15,27.06.15,Sea Cloud II,Schwedenkai
Fr,26.06.15,26.06.15,Amadea,Ostseekai
Sa,27.06.15,27.06.15,AIDAcara,Ostseekai
Sa,27.06.15,27.06.15,MSC Orchestra,Ostseekai
So,28.06.15,28.06.15,AIDAluna,Ostseekai
So,28.06.15,28.06.15,Astor,Norwegenkai
Mo,29.06.15,29.06.15,Mein Schiff 4,Ostseekai
Do,02.07.15,02.07.15,Artania,Ostseekai
Do,02.07.15,02.07.15,Ocean Majesty,Norwegenkai
Fr,03.07.15,03.07.15,Costa Pacifica ,Ostseekai
Sa,04.07.15,04.07.15,MSC Orchestra,Ostseekai
So,05.07.15,05.07.15,Europa,Ostseekai
Di,07.07.15,07.07.15,Mein Schiff 4,Ostseekai
Mi,08.07.15,08.07.15,Eurodam,Ostseekai
Fr,10.07.15,10.07.15,Regal Princess,Ostseekai
Fr,10.07.15,10.07.15,Costa Favolosa,Ostseekai
Sa,11.07.15,11.07.15,Queen Elizabeth,Ostseekai
Sa,11.07.15,11.07.15,AIDAcara,Ostseekai
Sa,11.07.15,11.07.15,MSC Orchestra,Ostuferhafen
Di,14.07.15,14.07.15,Costa Pacifica ,Ostseekai
Mi,15.07.15,15.07.15,AIDAluna,Ostseekai
Fr,17.07.15,17.07.15,Mein Schiff 4,Ostseekai
Sa,18.07.15,18.07.15,MSC Orchestra,Ostuferhafen
Mo,20.07.15,20.07.15,Eurodam,Ostseekai
Di,21.07.15,21.07.15,Europa,Ostseekai
Sa,25.07.15,25.07.15,Mein Schiff 4,Ostseekai
Sa,25.07.15,25.07.15,Costa Pacifica ,Ostseekai
Sa,25.07.15,25.07.15,AIDAcara,Sartorikai
Sa,25.07.15,25.07.15,MSC Orchestra,Ostuferhafen
