Arival_date,Number_of_ships,Ship
2017-05-07,1,True
2017-05-08,3,True
2017-05-09,1,True
2017-05-13,1,True
2017-05-16,1,True
2017-05-17,1,True
2017-05-18,1,True
2017-05-19,2,True
2017-05-20,1,True
2017-05-21,1,True
2017-05-22,1,True
2017-05-23,2,True
2017-05-26,1,True
2017-05-27,3,True
2017-05-28,1,True
2017-05-30,1,True
2017-05-31,1,True
2017-06-05,2,True
2017-06-06,2,True
2017-06-08,1,True
2017-06-09,1,True
2017-06-14,2,True
2017-06-17,2,True
2017-06-18,2,True
2017-06-21,3,True
2017-06-22,1,True
2017-06-23,2,True
2017-06-24,1,True
2017-06-25,1,True
2017-06-26,2,True
2017-06-28,2,True
2017-06-30,1,True
2017-07-05,1,True
2017-07-07,2,True
2017-07-10,1,True
2017-07-14,1,True
2017-07-15,3,True
2017-07-18,1,True
2017-07-20,1,True
2017-07-22,1,True
2017-07-24,1,True
2017-07-26,2,True
2017-07-28,1,True
2017-07-29,3,True
2017-08-06,1,True
2017-08-07,2,True
2017-08-09,1,True
2017-08-13,2,True
2017-08-16,2,True
2017-08-17,1,True
2017-08-19,2,True
2017-08-20,1,True
2017-08-21,1,True
2017-08-23,1,True
2017-08-24,1,True
2017-08-26,2,True
2017-08-28,1,True
2017-08-29,1,True
2017-09-04,1,True
2017-09-09,2,True
2017-09-10,1,True
2017-09-13,2,True
2017-09-14,1,True
2017-09-16,2,True
2017-09-20,1,True
2017-09-23,1,True
2017-09-24,1,True
2017-09-27,1,True
2017-09-30,1,True
2017-10-06,2,True
2017-10-07,1,True
2017-10-14,1,True
2017-10-21,1,True
2017-11-05,1,True
2017-11-06,1,True
2017-11-07,1,True
2017-11-08,2,True
2017-12-05,1,True
2017-12-07,1,True
2017-12-08,4,True
2018-01-06,1,True
2018-01-07,3,True
2018-01-09,1,True
2018-02-06,2,True
2018-02-09,2,True
2018-02-10,1,True
2018-03-06,2,True
2018-03-07,1,True
2018-04-05,2,True
2018-04-06,1,True
2018-04-08,2,True
2018-04-15,1,True
2018-04-22,1,True
2018-04-26,1,True
2018-04-27,1,True
2018-04-28,2,True
2018-04-29,2,True
2018-05-05,2,True
2018-05-07,1,True
2018-05-08,1,True
2018-05-13,2,True
2018-05-15,1,True
2018-05-17,2,True
2018-05-19,4,True
2018-05-20,1,True
2018-05-21,3,True
2018-05-23,1,True
2018-05-25,1,True
2018-05-26,1,True
2018-05-27,2,True
2018-05-29,2,True
2018-05-31,2,True
2018-06-04,1,True
2018-06-06,1,True
2018-06-07,3,True
2018-06-09,1,True
2018-06-10,2,True
2018-06-16,2,True
2018-06-17,3,True
2018-06-19,1,True
2018-06-23,3,True
2018-06-24,2,True
2018-06-25,1,True
2018-06-26,1,True
2018-06-27,1,True
2018-06-30,2,True
2018-07-06,1,True
2018-07-07,2,True
2018-07-10,1,True
2018-07-14,2,True
2018-07-15,2,True
2018-07-17,2,True
2018-07-18,1,True
2018-07-20,1,True
2018-07-21,1,True
2018-07-22,1,True
2018-07-23,1,True
2018-07-28,3,True
2018-07-29,2,True
2018-07-30,3,True
2018-07-31,2,True
2018-08-04,1,True
2018-08-07,1,True
2018-08-09,2,True
2018-08-17,1,True
2018-08-18,2,True
2018-08-19,1,True
2018-08-20,2,True
2018-08-22,1,True
2018-08-23,2,True
2018-08-25,3,True
2018-08-26,1,True
2018-08-31,1,True
2018-09-05,1,True
2018-09-06,4,True
2018-09-07,1,True
2018-09-09,1,True
2018-09-13,1,True
2018-09-16,1,True
2018-09-17,1,True
2018-09-23,1,True
2018-09-26,1,True
2018-09-27,1,True
2018-09-30,1,True
2018-10-06,1,True
2018-10-08,1,True
2018-10-09,2,True
2018-10-14,1,True
2018-10-21,1,True
2018-10-24,1,True
2018-10-28,1,True
2018-10-30,1,True
2018-11-05,1,True
2018-11-06,1,True
2018-11-07,2,True
2018-11-08,5,True
2018-11-09,1,True
2018-12-05,2,True
2018-12-06,1,True
2018-12-08,2,True
2019-01-06,2,True
2019-01-07,2,True
2019-01-08,1,True
2019-01-09,2,True
2019-02-06,2,True
2019-02-08,1,True
2019-02-09,1,True
2019-03-07,1,True
2019-03-08,2,True
2019-03-10,1,True
2019-04-05,1,True
2019-04-07,1,True
2019-04-14,1,True
2019-04-20,1,True
2019-04-21,1,True
2019-04-24,1,True
2019-04-27,1,True
2019-04-28,1,True
2019-05-01,1,True
2019-05-06,1,True
2019-05-08,1,True
2019-05-09,1,True
2019-05-10,1,True
2019-05-13,1,True
2019-05-14,2,True
2019-05-16,2,True
2019-05-17,1,True
2019-05-18,1,True
2019-05-19,1,True
2019-05-20,2,True
2019-05-22,1,True
2019-05-24,3,True
2019-05-26,1,True
2019-05-27,1,True
2019-05-28,2,True
2019-05-29,1,True
2019-05-30,1,True
2019-05-31,1,True
2019-06-06,3,True
2019-06-07,2,True
2019-06-13,1,True
2019-06-15,3,True
2019-06-16,2,True
2019-06-18,1,True
2019-06-20,1,True
2019-06-22,3,True
2019-06-23,3,True
2019-06-24,1,True
2019-06-25,1,True
2019-06-28,1,True
2019-06-29,3,True
2019-06-30,2,True
2019-07-04,1,True
2019-07-06,1,True
2019-07-09,3,True
2019-07-13,3,True
2019-07-14,2,True
2019-07-15,1,True
2019-07-16,1,True
2019-07-19,2,True
2019-07-20,2,True
2019-07-21,1,True
2019-07-22,1,True
2019-07-25,1,True
2019-07-27,3,True
2019-07-28,2,True
2019-07-29,1,True
2019-07-30,1,True
2019-07-31,1,True
2019-08-06,3,True
2019-08-08,2,True
2019-08-09,1,True
2019-08-10,1,True
2019-08-13,1,True
2019-08-15,1,True
2019-08-17,4,True
2019-08-18,1,True
2019-08-20,2,True
2019-08-21,1,True
2019-08-22,1,True
2019-08-24,2,True
2019-08-25,1,True
2019-08-27,1,True
2019-08-28,1,True
2019-08-30,2,True
2019-08-31,2,True
2019-09-05,1,True
2019-09-06,1,True
2019-09-07,2,True
2019-09-08,1,True
2019-09-14,2,True
2019-09-15,1,True
2019-09-18,2,True
2019-09-19,1,True
2019-09-21,1,True
2019-09-26,1,True
2019-09-27,1,True
2019-09-28,1,True
2019-09-29,2,True
2019-10-05,2,True
2019-10-06,1,True
2019-10-07,1,True
2019-10-08,2,True
2019-10-09,1,True
2019-11-05,2,True
2019-11-08,1,True
2019-11-09,1,True
2019-12-04,1,True
2019-12-07,1,True
2019-12-09,1,True
2019-12-10,1,True
