Feature 1,Feature 2,R²,Adjustiertes R²,AIC,BIC,P-Wert (Feature 1),P-Wert (Feature 2)
Broetchen,Saisonbrot,0.43200923655171963,0.4305465993926254,16870.257490377433,16890.51310622332,1.856549627686627e-143,2.1523689531647384e-05
Broetchen,Cloud_Cloudy,0.4320022255844127,0.4305395703713254,16870.271919784966,16890.527535630852,8.388274896066197e-142,0.34415816923020237
Broetchen,Saisonbrot,0.43200031740047806,0.4305376572736124,16870.275847024423,16890.53146287031,2.2112149715360837e-141,2.0387687729239425e-05
Broetchen,Saisonbrot,0.4320001589262843,0.4305374983913305,16870.27617318008,16890.531789025965,3.0384114809317494e-144,2.152751676933782e-05
Broetchen,Saisonbrot,0.43199248253483014,0.4305298022323447,16870.29197184818,16890.547587694065,7.026330250745817e-138,2.318777156375235e-05
Broetchen,Saisonbrot,0.43198747577998653,0.43052478258457016,16870.30227606148,16890.557891907367,2.764434710443612e-144,2.0745494120077393e-05
Broetchen,Saisonbrot,0.43198710856010203,0.4305244144190551,16870.3030318193,16890.558647665188,3.8055643884256083e-143,2.1504536661213738e-05
Broetchen,Weather_Unknown,0.4319837864031534,0.4305210837071959,16870.309868970664,16890.56548481655,1.119964621812659e-141,0.35455787030288977
Broetchen,Saisonbrot,0.4319830541889731,0.43052034960748553,16870.31137589565,16890.566991741536,8.819777360672064e-143,2.154071505765676e-05
Broetchen,Saisonbrot,0.4319828782014694,0.43052017316679514,16870.311738084423,16890.56735393031,4.306219501283033e-143,2.07718409013437e-05
Broetchen,Saisonbrot,0.43198247432056414,0.43051976824585314,16870.312569285794,16890.56818513168,7.467817736783341e-143,2.0822331858850375e-05
Broetchen,Saisonbrot,0.4319823798781274,0.43051967356021703,16870.31276365163,16890.568379497516,6.712612321690507e-144,2.104919761808277e-05
Broetchen,Saisonbrot,0.43198194852840965,0.4305192410997275,16870.313651384,16890.569267229886,1.197947810095268e-141,2.0907013155560613e-05
Broetchen,Cloud_Clear,0.43196359529967476,0.43050084060945937,16870.351422327592,16890.60703817348,1.9107893490447618e-143,0.366445110228076
Broetchen,Wind_Moderate,0.43187047501166387,0.4304074805267154,16870.54304507227,16890.798660918157,4.20363126502203e-143,0.42926958810344573
Broetchen,Weather_Light_Issues,0.4318308553312804,0.4303677588214039,16870.624564848058,16890.880180693945,6.006202037682652e-144,0.46094754378045777
Broetchen,Weihnachtsmarkt,0.43176669620295705,0.43030343447644104,16870.756563896794,16891.01217974268,3.848573508281102e-144,3.9250979759873606e-05
Broetchen,Sonntag,0.43176613852478596,0.4303028753621888,16870.757711181646,16891.013327027533,8.84201180696374e-127,0.5214831461234899
Broetchen,Wind_Strong,0.43168084288444475,0.43021736007642186,16870.933172602476,16891.188788448362,1.1922410371352674e-143,0.6269839378702826
Broetchen,Wind_Light,0.43167838508793577,0.4302148959508232,16870.938228138384,16891.19384398427,9.893538896238324e-144,0.6306820889698443
Broetchen,Temp_Mild,0.4316583202026385,0.43019477939629336,16870.97949955275,16891.23511539864,5.9355717504263056e-142,0.6628963225320312
Broetchen,Donnerstag,0.4316253043098096,0.430161678483998,16871.04740669223,16891.303022538115,4.686647797853022e-143,0.7264688417008498
Broetchen,Samstag,0.4316252948340632,0.43016166898385055,16871.04742618139,16891.303042027277,7.914945705502371e-138,0.72648966840832
Broetchen,Weather_Severe,0.43159016374735215,0.43012644743082173,16871.11967952208,16891.375295367965,5.935576280287176e-144,0.8223963977017731
Broetchen,Montag,0.4315841016151828,0.4301203696880116,16871.13214692546,16891.38776277135,1.4288508936183001e-142,0.8455142299814433
Broetchen,Cloud_Partly_Cloudy,0.43158254117992423,0.4301188052344648,16871.135356100855,16891.39097194674,3.4894104561696436e-143,0.8520830950223335
Broetchen,Weather_Good,0.431580835982442,0.43011709564591616,16871.138862982698,16891.394478828584,5.56211118656723e-144,0.859629594148754
Broetchen,Temp_Very_Cold,0.4315721397091673,0.43010837697880466,16871.15674743547,16891.412363281357,1.3176447451657986e-142,0.9076430076311055
Broetchen,Weather_Moderate,0.4315707124507978,0.4301069460450917,16871.159682659192,16891.41529850508,7.363920793779515e-143,0.9182490952892951
Broetchen,Mittwoch,0.43156835137602845,0.4301045788903015,16871.164538303918,16891.420154149804,3.6231718272796245e-141,0.9398292153126291
Broetchen,Heimspiel,0.43156726728924544,0.4301034920118787,16871.166767765008,16891.422383610894,1.3077980992850933e-143,0.9529788906522247
Broetchen,Freitag,0.43156677319049286,0.4301029966407688,16871.16778389437,16891.423399740255,8.572155748293272e-143,0.9604037660046663
Broetchen,Dienstag,0.43156579988985977,0.43010202083378213,16871.169785514634,16891.42540136052,2.307187508197223e-141,0.9826870783253646
Broetchen,VPI,0.4315656082621,0.4301018287125603,16871.170179602137,16891.425795448024,6.980071328932842e-144,0.9929384951314366
Brot,Broetchen,0.4311320861597655,0.4296671902442971,16872.061389194674,16892.31700504056,0.00010852551049706161,2.792663165708268e-129
Brot,Broetchen,0.4310781199402475,0.4296130850559734,16872.172282280553,16892.42789812644,0.0002223069500844718,3.24007755630943e-122
Brot,Broetchen,0.43090940623188523,0.4294439368917099,16872.518897684262,16892.77451353015,0.0001534878480637785,1.780050352510567e-128
Brot,Broetchen,0.43086632694502647,0.4294007466710652,16872.607385845742,16892.86300169163,0.00017643925568092993,5.380482087967132e-129
Brot,Broetchen,0.4307632096582673,0.4292973638462285,16872.819169465274,16893.07478531116,0.0001819827275546792,3.3738008524268356e-128
Brot,Broetchen,0.4306918236374355,0.4292257939987336,16872.965760528255,16893.221376374142,0.00015889901124663546,2.8334456367733287e-130
Broetchen,Croissant,0.43066868956644655,0.42920260035502966,16873.013262357068,16893.268878202955,1.864785487784986e-24,0.0098137420568101
Brot,Broetchen,0.4305513800741113,0.4290849887781648,16873.254107481516,16893.509723327403,0.00020240111874788292,3.214863325365195e-129
Brot,Broetchen,0.4304159421875515,0.42894920212451515,16873.532109848315,16893.7877256942,0.0007830268870695875,1.0960154893646918e-25
Brot,Broetchen,0.4304107178066612,0.4289439642902835,16873.54283218713,16893.798448033016,0.00021993944974128,2.5945338180904466e-129
Brot,Broetchen,0.42990665609657974,0.4289287944432292,16872.576888799056,16887.768600683474,0.00019481192573709026,3.689805328606609e-130
Brot,Broetchen,0.43021788367313085,0.428750633588169,16873.938529506795,16894.19414535268,0.00014509736226474585,2.594472332235023e-127
Brot,Broetchen,0.4302100762259574,0.42874280603598136,16873.9545476354,16894.210163481286,0.00021200301672681042,3.5598633816679544e-130
Brot,Broetchen,0.43016983475916015,0.4287024609430894,16874.03710545473,16894.292721300615,0.0002001677337355343,3.536109397607845e-129
Brot,Broetchen,0.43008270957135386,0.4286151113985762,16874.215828108132,16894.47144395402,0.00019075723331121548,1.1688744207747077e-129
Brot,Broetchen,0.43003623797203483,0.42856852012990276,16874.31114559677,16894.566761442657,0.00018170278542329184,1.6145641042742358e-129
Brot,Broetchen,0.42998358227635025,0.428515728840152,16874.41913783978,16894.674753685667,0.00018671133932894187,1.6860701604071643e-127
Brot,Broetchen,0.4299607518161248,0.42849283958904194,16874.46595802375,16894.721573869636,0.00020081509037821692,9.018594879270843e-130
Brot,Broetchen,0.4299531094138468,0.42848517750675796,16874.481630468068,16894.737246313955,0.00021058563669596624,2.7228144666620313e-127
Brot,Broetchen,0.42994699532872727,0.42847904767721323,16874.49416860711,16894.749784452997,0.00020328389969266343,5.070033067172372e-130
Brot,Broetchen,0.4299463250562796,0.42847837567874214,16874.495543124962,16894.75115897085,0.0001984171764449532,5.367628778988392e-130
Brot,Broetchen,0.4299462570043877,0.4284783074516093,16874.495682677883,16894.75129852377,0.00018780353050577403,2.818414728925871e-128
Brot,Broetchen,0.42994418821399205,0.4284762333338564,16874.499925105225,16894.75554095111,0.00032259649184351185,9.865741619056053e-126
Brot,Broetchen,0.4299359845316121,0.4284680085261141,16874.516748082027,16894.772363927914,0.0001976094521670799,7.934842234699747e-129
Brot,Broetchen,0.42992100711316616,0.42845299253920865,16874.547461075108,16894.803076920994,0.00019410397891380616,2.0824902636231476e-127
Brot,Broetchen,0.4299117997600216,0.4284437614761418,16874.566341456673,16894.82195730256,0.0001956980726702008,5.3322488708097905e-130
Brot,Broetchen,0.42990787086623394,0.4284398224650311,16874.574397860943,16894.83001370683,0.00019619975069011254,6.281195705612872e-129
Brot,Broetchen,0.429907020429522,0.4284389698383534,16874.57614171904,16894.831757564927,0.00019600652079064903,2.800471592294725e-127
Brot,Broetchen,0.4299068837014205,0.4284388327581624,16874.57642208582,16894.832037931705,0.0001985584050189427,7.486440360694073e-130
Broetchen,Konditorei,0.42848135904329254,0.4270096372210864,16877.495872031715,16897.751487877602,1.524638498940349e-119,0.1377387572141344
Broetchen,Temp_Cold,0.4281117892567581,0.4266391157526982,16878.25155596847,16898.507171814355,3.236917355410248e-128,0.002986109039042229
Broetchen,Temp_Cold,0.4280746717530063,0.42660190266739173,16878.327425610543,16898.58304145643,2.2744310633226192e-125,0.006166411651040023
Broetchen,Croissant,0.4280589709085536,0.4265861613915799,16878.359517274133,16898.61513312002,9.172234890318857e-19,0.012344989606958843
Broetchen,Temp_Cold,0.4280553202161409,0.4265825012982426,16878.366978962655,16898.62259480854,5.287972146282151e-128,0.0025810349644149965
Broetchen,Temp_Cold,0.4280204039214113,0.42654749509030765,16878.438342337682,16898.69395818357,5.417495359026157e-129,0.004056846653575318
Broetchen,Temp_Cold,0.42739911718975654,0.42641695444051086,16877.707426118213,16892.89913800263,1.1622583629093863e-129,0.0030701664818905605
Broetchen,Temp_Cold,0.42786510094935193,0.42639179219643186,16878.75570423848,16899.011320084366,2.7309980211403954e-129,0.003903351260316285
Broetchen,Temp_Cold,0.42776973630744264,0.42629618198033736,16878.95053936678,16899.206155212665,8.769110877602961e-113,0.0022178438969004777
Broetchen,Temp_Cold,0.4277477836560982,0.4262741727985603,16878.995385224833,16899.25100107072,7.102341727003144e-129,0.005064982874563162
Broetchen,Temp_Cold,0.42771532678877666,0.42624163235132284,16879.061686413123,16899.31730225901,7.649991189468354e-129,0.002972510381210777
Broetchen,Temp_Cold,0.42764192627995645,0.4261680428283169,16879.211611261133,16899.46722710702,1.310208200862177e-129,0.0035813346923404873
Broetchen,Temp_Cold,0.4276346793421083,0.42616077722882617,16879.22641251423,16899.482028360115,1.4246072229257315e-129,0.004701383498015822
Broetchen,Temp_Cold,0.4276338049023567,0.42615990053729835,16879.22819847025,16899.483814316136,1.9127121513966398e-129,0.002809967823748837
Broetchen,Temp_Cold,0.42762955978076833,0.4261556444840665,16879.23686866911,16899.492484514998,4.832914098763897e-129,0.005718881797529956
Broetchen,Temp_Very_Cold,0.4275976647912352,0.4261236673615131,16879.302008657716,16899.557624503603,3.926530966924536e-126,0.5251041001063055
Broetchen,Temp_Cold,0.42759472686197764,0.4261207218667724,16879.3080086865,16899.563624532388,1.2576380330674412e-129,0.004819718758685109
Broetchen,Temp_Cold,0.42750645406702314,0.42603222175989963,16879.488270725014,16899.7438865709,2.1822573166707574e-128,0.002835074056732497
Broetchen,Temp_Cold,0.4274550826034609,0.4259807180093067,16879.593163692134,16899.84877953802,3.661528865942401e-129,0.0031543476829550853
Broetchen,Temp_Cold,0.4274369249056298,0.4259625135534555,16879.63023678726,16899.885852633146,5.5114112671317364e-129,0.003159818467592645
Broetchen,Temp_Cold,0.4274271423285241,0.4259527057851641,16879.65020966962,16899.905825515507,2.0458260915917737e-129,0.003162633925559826
Broetchen,Temp_Cold,0.4274247731616819,0.4259503305174631,16879.655046696513,16899.9106625424,1.3967194776794798e-126,0.0029964527270222325
Broetchen,Temp_Cold,0.42742383166827946,0.4259493865996141,16879.656968897874,16899.91258474376,2.6955200598443843e-128,0.0031158580861418476
Broetchen,Temp_Cold,0.4274164395674499,0.4259419754633318,16879.67206088138,16899.927676727268,1.2675884829564802e-128,0.003284069945197659
Broetchen,Temp_Cold,0.42740662618744263,0.42593213681281805,16879.69209593603,16899.947711781915,1.104491004082798e-126,0.0030749041467520947
Broetchen,Temp_Cold,0.42740614636940744,0.4259316557591999,16879.693075526564,16899.94869137245,2.794115769712714e-128,0.0030589813358150564
Broetchen,Temp_Cold,0.4274040286479309,0.4259295325843634,16879.69739903058,16899.953014876468,1.314175908483584e-122,0.0034771256727829936
Broetchen,Temp_Cold,0.4274014789826296,0.4259269763534004,16879.702604362526,16899.958220208413,2.0504348220662153e-129,0.0030867826073749578
Broetchen,Temp_Cold,0.4273998401599829,0.42592533331060944,16879.705950129,16899.961565974885,6.479757729300829e-129,0.0031217803197067565
Broetchen,Temp_Cold,0.4273994635655647,0.4259249557464202,16879.706718970436,16899.962334816322,4.8429246442259334e-129,0.003210715320820335
Broetchen,Croissant,0.42683521367492816,0.42535925285177345,16880.858103398597,16901.113719244484,5.474251244695013e-24,0.025640782068955578
Broetchen,Temp_Mild,0.4264105167455652,0.42493346228224904,16881.723974573084,16901.97959041897,7.766512648143638e-126,0.042440682607613855
Broetchen,Konditorei,0.42616786372873483,0.42469018440786466,16882.218407266482,16902.47402311237,3.4039453236401333e-124,0.013482981227003775
Broetchen,Croissant,0.425940331317724,0.4244620660764822,16882.681840128025,16902.93745597391,4.128651127619301e-24,0.0446706780753315
Broetchen,Croissant,0.4258638330468689,0.42438537081437167,16882.83760881484,16903.093224660726,3.78425464536531e-24,0.04473360874822209
Broetchen,Konditorei,0.42583253022023093,0.4243539873795964,16882.90134283636,16903.156958682248,5.918247651621998e-133,0.03262538562677945
Broetchen,Croissant,0.42582692198445105,0.42434836470200754,16882.912761100117,16903.168376946003,3.421358506712079e-24,0.046178511772482625
Broetchen,Konditorei,0.42581777219121,0.4243391913470672,16882.931389669593,16903.18700551548,1.4566430038998285e-122,0.08777164974475563
Broetchen,Croissant,0.4257514270670798,0.42427267537712376,16883.0664564932,16903.322072339088,4.127907577054894e-24,0.04497522231574773
