Datum,VPI
2014-04-17,99.4
2014-04-18,99.4
2014-04-19,99.4
2014-04-20,99.4
2014-04-21,99.4
2014-04-22,99.4
2014-04-23,99.4
2014-04-24,99.4
2014-04-25,99.4
2014-04-26,99.4
2014-04-27,99.4
2014-04-28,99.4
2014-04-29,99.4
2014-04-30,99.4
2014-05-01,99.2
2014-05-02,99.2
2014-05-03,99.2
2014-05-04,99.2
2014-05-05,99.2
2014-05-06,99.2
2014-05-07,99.2
2014-05-08,99.2
2014-05-09,99.2
2014-05-10,99.2
2014-05-11,99.2
2014-05-12,99.2
2014-05-13,99.2
2014-05-14,99.2
2014-05-15,99.2
2014-05-16,99.2
2014-05-17,99.2
2014-05-18,99.2
2014-05-19,99.2
2014-05-20,99.2
2014-05-21,99.2
2014-05-22,99.2
2014-05-23,99.2
2014-05-24,99.2
2014-05-25,99.2
2014-05-26,99.2
2014-05-27,99.2
2014-05-28,99.2
2014-05-29,99.2
2014-05-30,99.2
2014-05-31,99.2
2014-06-01,99.5
2014-06-02,99.5
2014-06-03,99.5
2014-06-04,99.5
2014-06-05,99.5
2014-06-06,99.5
2014-06-07,99.5
2014-06-08,99.5
2014-06-09,99.5
2014-06-10,99.5
2014-06-11,99.5
2014-06-12,99.5
2014-06-13,99.5
2014-06-14,99.5
2014-06-15,99.5
2014-06-16,99.5
2014-06-17,99.5
2014-06-18,99.5
2014-06-19,99.5
2014-06-20,99.5
2014-06-21,99.5
2014-06-22,99.5
2014-06-23,99.5
2014-06-24,99.5
2014-06-25,99.5
2014-06-26,99.5
2014-06-27,99.5
2014-06-28,99.5
2014-06-29,99.5
2014-06-30,99.5
2014-07-01,99.7
2014-07-02,99.7
2014-07-03,99.7
2014-07-04,99.7
2014-07-05,99.7
2014-07-06,99.7
2014-07-07,99.7
2014-07-08,99.7
2014-07-09,99.7
2014-07-10,99.7
2014-07-11,99.7
2014-07-12,99.7
2014-07-13,99.7
2014-07-14,99.7
2014-07-15,99.7
2014-07-16,99.7
2014-07-17,99.7
2014-07-18,99.7
2014-07-19,99.7
2014-07-20,99.7
2014-07-21,99.7
2014-07-22,99.7
2014-07-23,99.7
2014-07-24,99.7
2014-07-25,99.7
2014-07-26,99.7
2014-07-27,99.7
2014-07-28,99.7
2014-07-29,99.7
2014-07-30,99.7
2014-07-31,99.7
2014-08-01,99.8
2014-08-02,99.8
2014-08-03,99.8
2014-08-04,99.8
2014-08-05,99.8
2014-08-06,99.8
2014-08-07,99.8
2014-08-08,99.8
2014-08-09,99.8
2014-08-10,99.8
2014-08-11,99.8
2014-08-12,99.8
2014-08-13,99.8
2014-08-14,99.8
2014-08-15,99.8
2014-08-16,99.8
2014-08-17,99.8
2014-08-18,99.8
2014-08-19,99.8
2014-08-20,99.8
2014-08-21,99.8
2014-08-22,99.8
2014-08-23,99.8
2014-08-24,99.8
2014-08-25,99.8
2014-08-26,99.8
2014-08-27,99.8
2014-08-28,99.8
2014-08-29,99.8
2014-08-30,99.8
2014-08-31,99.8
2014-09-01,99.8
2014-09-02,99.8
2014-09-03,99.8
2014-09-04,99.8
2014-09-05,99.8
2014-09-06,99.8
2014-09-07,99.8
2014-09-08,99.8
2014-09-09,99.8
2014-09-10,99.8
2014-09-11,99.8
2014-09-12,99.8
2014-09-13,99.8
2014-09-14,99.8
2014-09-15,99.8
2014-09-16,99.8
2014-09-17,99.8
2014-09-18,99.8
2014-09-19,99.8
2014-09-20,99.8
2014-09-21,99.8
2014-09-22,99.8
2014-09-23,99.8
2014-09-24,99.8
2014-09-25,99.8
2014-09-26,99.8
2014-09-27,99.8
2014-09-28,99.8
2014-09-29,99.8
2014-09-30,99.8
2014-10-01,99.5
2014-10-02,99.5
2014-10-03,99.5
2014-10-04,99.5
2014-10-05,99.5
2014-10-06,99.5
2014-10-07,99.5
2014-10-08,99.5
2014-10-09,99.5
2014-10-10,99.5
2014-10-11,99.5
2014-10-12,99.5
2014-10-13,99.5
2014-10-14,99.5
2014-10-15,99.5
2014-10-16,99.5
2014-10-17,99.5
2014-10-18,99.5
2014-10-19,99.5
2014-10-20,99.5
2014-10-21,99.5
2014-10-22,99.5
2014-10-23,99.5
2014-10-24,99.5
2014-10-25,99.5
2014-10-26,99.5
2014-10-27,99.5
2014-10-28,99.5
2014-10-29,99.5
2014-10-30,99.5
2014-10-31,99.5
2014-11-01,99.5
2014-11-02,99.5
2014-11-03,99.5
2014-11-04,99.5
2014-11-05,99.5
2014-11-06,99.5
2014-11-07,99.5
2014-11-08,99.5
2014-11-09,99.5
2014-11-10,99.5
2014-11-11,99.5
2014-11-12,99.5
2014-11-13,99.5
2014-11-14,99.5
2014-11-15,99.5
2014-11-16,99.5
2014-11-17,99.5
2014-11-18,99.5
2014-11-19,99.5
2014-11-20,99.5
2014-11-21,99.5
2014-11-22,99.5
2014-11-23,99.5
2014-11-24,99.5
2014-11-25,99.5
2014-11-26,99.5
2014-11-27,99.5
2014-11-28,99.5
2014-11-29,99.5
2014-11-30,99.5
2014-12-01,99.5
2014-12-02,99.5
2014-12-03,99.5
2014-12-04,99.5
2014-12-05,99.5
2014-12-06,99.5
2014-12-07,99.5
2014-12-08,99.5
2014-12-09,99.5
2014-12-10,99.5
2014-12-11,99.5
2014-12-12,99.5
2014-12-13,99.5
2014-12-14,99.5
2014-12-15,99.5
2014-12-16,99.5
2014-12-17,99.5
2014-12-18,99.5
2014-12-19,99.5
2014-12-20,99.5
2014-12-21,99.5
2014-12-22,99.5
2014-12-23,99.5
2014-12-24,99.5
2014-12-25,99.5
2014-12-26,99.5
2014-12-27,99.5
2014-12-28,99.5
2014-12-29,99.5
2014-12-30,99.5
2014-12-31,99.5
2015-01-01,98.5
2015-01-02,98.5
2015-01-03,98.5
2015-01-04,98.5
2015-01-05,98.5
2015-01-06,98.5
2015-01-07,98.5
2015-01-08,98.5
2015-01-09,98.5
2015-01-10,98.5
2015-01-11,98.5
2015-01-12,98.5
2015-01-13,98.5
2015-01-14,98.5
2015-01-15,98.5
2015-01-16,98.5
2015-01-17,98.5
2015-01-18,98.5
2015-01-19,98.5
2015-01-20,98.5
2015-01-21,98.5
2015-01-22,98.5
2015-01-23,98.5
2015-01-24,98.5
2015-01-25,98.5
2015-01-26,98.5
2015-01-27,98.5
2015-01-28,98.5
2015-01-29,98.5
2015-01-30,98.5
2015-01-31,98.5
2015-02-01,99.2
2015-02-02,99.2
2015-02-03,99.2
2015-02-04,99.2
2015-02-05,99.2
2015-02-06,99.2
2015-02-07,99.2
2015-02-08,99.2
2015-02-09,99.2
2015-02-10,99.2
2015-02-11,99.2
2015-02-12,99.2
2015-02-13,99.2
2015-02-14,99.2
2015-02-15,99.2
2015-02-16,99.2
2015-02-17,99.2
2015-02-18,99.2
2015-02-19,99.2
2015-02-20,99.2
2015-02-21,99.2
2015-02-22,99.2
2015-02-23,99.2
2015-02-24,99.2
2015-02-25,99.2
2015-02-26,99.2
2015-02-27,99.2
2015-02-28,99.2
2015-03-01,99.7
2015-03-02,99.7
2015-03-03,99.7
2015-03-04,99.7
2015-03-05,99.7
2015-03-06,99.7
2015-03-07,99.7
2015-03-08,99.7
2015-03-09,99.7
2015-03-10,99.7
2015-03-11,99.7
2015-03-12,99.7
2015-03-13,99.7
2015-03-14,99.7
2015-03-15,99.7
2015-03-16,99.7
2015-03-17,99.7
2015-03-18,99.7
2015-03-19,99.7
2015-03-20,99.7
